vertex,Label,degree_centrality_x,degree_centrality_y,degree_centrality
47829900,Fan Yang,0.18146866589773164,0.3948149654677093,0.38265492660870515
38144094,Tiangang Zhang,0.07390319962407621,0.35378313900303215,0.13549511158624636
145784853,Xiao Han,0.06557307018668034,0.34893115951698833,0.11817170586631129
49596260,Surinder Kumar,0.05801187577427485,0.30450110631870186,0.11141778321555455
145967056,H. Poor,0.03156905463710539,0.33299190591835054,0.06967448234529007
8386952,Bartolomeo Stellato,0.0032038959374599513,0.28964399345054154,0.052971988346812465
2266124380,Jianqing Fan,0.0051689521124353875,0.330420666893261,0.0519065436599035
2969311,Zhangyang Wang,0.02242727156221966,0.33200476642816673,0.04311860627265952
2258225151,Boris Hanin,0.002819428424964757,0.30601385857914254,0.04161803730331642
49988044,Joseph E. Gonzalez,0.01798453586227519,0.31534772239806286,0.033971353049820574
1713217,Dimitris Bertsimas,0.00965440642487932,0.29029057634862415,0.031236929654043975
145944286,Daniela Rus,0.01610491691229869,0.2916614753497472,0.03023174188050032
144344283,Ken Goldberg,0.016788414712290145,0.3068241406606362,0.02949555911766424
1696085,Marco Pavone,0.014011704899824853,0.3028581785127979,0.02939913937611596
2258678973,Dawn Xiaodong Song,0.014866077149814173,0.3060418660711349,0.02938999116156832
143615345,Prateek Mittal,0.009526250587380922,0.31297383362150333,0.02516840722860811
1710259,Hayden Kwok-Hay So,0.007646631637404417,0.32100441650509626,0.024370366006337338
4865276,C. Macaya,0.012901020974838737,0.2443906161470772,0.022567740553622876
2316152845,Ion Stoica,0.013456362937331795,0.310858190691899,0.02116068993819508
1773997,S. Sankararaman,0.01008159254987398,0.26593121988114626,0.01966202425526601
2108645437,Quefeng Li,0.010594215899867572,0.2810537569818404,0.01903539925668218
1843103,Stephen P. Boyd,0.008586441112392668,0.28910737056085634,0.018819593150669806
2359176353,Mufan Bill Li,0.0012388397624845144,0.31696616034122727,0.018613268546145787
3113442,Zhaoran Wang,0.012516553462343543,0.32930500904218646,0.018048327534708166
2000111554,Wei Huang,0.008543722499893203,0.31784851094102023,0.01773653693179098
1727814,Deniz Gündüz,0.01008159254987398,0.2751304720804764,0.017103402731052847
145544001,V. Estrada,0.00922722029988466,0.24569635179408206,0.016630913923868677
25681050,Matias D. Cattaneo,0.004058268187449272,0.26266945016068105,0.01592356776558872
2381580561,Mengdi Wang,0.004912640437438592,0.3306120148973659,0.01478455865044819
1697413,Sanjeev R. Kulkarni,0.0020932120124738346,0.29450546739036243,0.01460665886831072
2299942582,Mathieu Laurière,0.004442735699944466,0.2672306520386639,0.014582344555686149
9051324,Jason M. Klusowski,0.0016660258874791746,0.2872905804568102,0.01393219567702904
2228109,Caiming Xiong,0.009099064462386262,0.30129104561416176,0.013699989145745198
145729210,Sebastian Pokutta,0.007390319962407621,0.2702075594246371,0.013616375681728696
2109729010,Jiaming Yang,0.0076893502499038825,0.28708621101540005,0.013218056811764006
49973715,L. Keele,0.00546798239993165,0.27540887213458776,0.012728843734967842
2283207460,Deanna Needell,0.0065359477124183,0.2742472178408742,0.012608110544612345
52133002,Agni Orfanoudaki,0.0036310820624546112,0.2743468634503289,0.01235566478285624
1759256,A. Bemporad,0.00525438933743432,0.26886364468600155,0.011148120014290296
2336909432,Wei Li,0.0003417488999957281,0.31382565149919034,0.011063874255520153
2166511,Richard Socher,0.009398094749882523,0.2865695401899928,0.010713558379650974
7402018,R. Sircar,0.0017514631124781067,0.24751501610183796,0.010565034344718366
50977029,Kelin Xu,0.006749540774915631,0.2780523157292368,0.01034921247234235
40520460,Paul J. Gertler,0.005339826562433252,0.24220568953879423,0.010271083073385727
12611133,C. Maes,0.005297107949933786,0.2252102299797815,0.010225968612419168
145906750,Tao Xie,0.007304882737408688,0.2814220795286822,0.01021790399611571
2381187,David Rolnick,0.005425263787432184,0.25385274483193915,0.009938647206022978
150358650,Zhuoran Yang,0.008885471399888932,0.32019205836584835,0.009911811487602283
2145225543,Haifeng Chen,0.006877696612414028,0.29599140165299204,0.00982537099751506
1808676,Vikas Sindhwani,0.005297107949933786,0.27755116610997477,0.009547562366169238
3179069,Mac Schwager,0.00589516852492631,0.28603025689467226,0.009480076480186655
35142396,Maolin Wang,0.005382545174932718,0.2902149929664817,0.009198472847473481
1789625,Binghui Wang,0.00589516852492631,0.2809087204800256,0.009187771329266573
4677813,K. Imai,0.004015549574949806,0.2867907426482058,0.009178777160978847
2292402355,Francesco Borrelli,0.005297107949933786,0.286117664837837,0.009074168977268492
1812881,Runze Li,0.00589516852492631,0.28038043724732714,0.009004985095537007
1773498,Brandon Amos,0.004869921824939126,0.2734047404333292,0.008980944460223149
2092062,John M. Mulvey,0.0011106839249861165,0.2759999061729862,0.008932411406789714
1972886,J. Keppo,0.003972830962450339,0.26602491297357156,0.008790709661484564
40637427,Xusheng Xiao,0.005425263787432184,0.30948949561315614,0.008760557844826055
144914078,Y. Kevrekidis,0.004442735699944466,0.2619580549580166,0.008704789507655944
48480104,Jiahui Sun,0.005083514887436456,0.25259261703431224,0.008665149164342877
2740804,Peter Bailis,0.005638856849929514,0.28265568635469457,0.008655401474023232
1682835,R. Jungers,0.004229142637447136,0.2430229665135451,0.008255250352585909
2221547236,Matei Zaharia,0.005339826562433252,0.2927814682567027,0.008154404149432857
3137672,Martin A. Riedmiller,0.004912640437438592,0.2690274238870723,0.008025535433572883
2265578799,Jaime Fernández Fisac,0.00482720321243966,0.2863521817758143,0.00802354806266646
2577481,Cengiz Pehlevan,0.00482720321243966,0.27757091408213896,0.00786512506197495
47123118,I. N. Núñez Gil,0.004357298474945533,0.24993326474024977,0.007775959752538902
33411132,Kurt Thomas,0.0043145798624460675,0.25514775659990424,0.0076106422302844815
144516687,N. Gong,0.004998077662437524,0.2812394872244751,0.0075064618814854114
50561307,Jian-cheng Zhang,0.0002563116749967961,0.29762480027869964,0.007356824452618166
12890978,E. Rebrova,0.0020932120124738346,0.2649259226366803,0.007178879732182068
1745169,P. Bartlett,0.003972830962450339,0.2901826121359063,0.007113847415430668
3331786,Markus Wulfmeier,0.004442735699944466,0.27687157760990067,0.006871268224532242
1741521,Fengyuan Xu,0.005126233499935922,0.27696986241694704,0.00685514720944522
1737063,I. Daubechies,0.0034174889999572813,0.2577409271793364,0.00660985618104365
79676449,René Carmona,0.0015805886624802425,0.24800016997466295,0.006593634756259413
2166054701,Shruti Mishra,0.002904865649963689,0.2681029945561429,0.006569741774686411
2154899615,Yang Li,0.00021359306249733008,0.3049056904272433,0.006540919200592583
2788351,R. Samworth,0.0038019565124524754,0.2747010297353403,0.006503788890467053
